start;
insert Edge(0, 963),
insert Edge(0, 343),
insert Edge(0, 171),
insert Edge(0, 133),
insert Edge(0, 683),
insert Edge(0, 333),
insert Edge(0, 369),
insert Edge(0, 21),
insert Edge(0, 490),
insert Edge(0, 670),
insert Edge(0, 610),
insert Edge(0, 846),
insert Edge(0, 138),
insert Edge(0, 486),
insert Edge(0, 773),
insert Edge(0, 108),
insert Edge(0, 212),
insert Edge(0, 322),
insert Edge(0, 260),
insert Edge(0, 366),
insert Edge(0, 328),
insert Edge(0, 540),
insert Edge(0, 699),
insert Edge(1, 583),
insert Edge(1, 279),
insert Edge(1, 742),
insert Edge(1, 861),
insert Edge(1, 73),
insert Edge(1, 843),
insert Edge(1, 725),
insert Edge(1, 304),
insert Edge(1, 61),
insert Edge(1, 181),
insert Edge(1, 789),
insert Edge(1, 225),
insert Edge(1, 325),
insert Edge(1, 632),
insert Edge(1, 378),
insert Edge(2, 256),
insert Edge(2, 527),
insert Edge(2, 957),
insert Edge(2, 807),
insert Edge(2, 948),
insert Edge(2, 262),
insert Edge(2, 148),
insert Edge(2, 618),
insert Edge(2, 102),
insert Edge(2, 447),
insert Edge(2, 313),
insert Edge(2, 27),
insert Edge(2, 360),
insert Edge(2, 441),
insert Edge(2, 577),
insert Edge(2, 482),
insert Edge(2, 712),
insert Edge(2, 676),
insert Edge(2, 608),
insert Edge(2, 946),
insert Edge(2, 280),
insert Edge(3, 139),
insert Edge(3, 963),
insert Edge(3, 433),
insert Edge(3, 717),
insert Edge(3, 735),
insert Edge(3, 999),
insert Edge(3, 708),
insert Edge(3, 828),
insert Edge(3, 581),
insert Edge(3, 934),
insert Edge(3, 7),
insert Edge(3, 719),
insert Edge(3, 308),
insert Edge(3, 310),
insert Edge(3, 731),
insert Edge(3, 445),
insert Edge(3, 269),
insert Edge(3, 403),
insert Edge(3, 618),
insert Edge(3, 630),
insert Edge(3, 242),
insert Edge(3, 165),
insert Edge(4, 708),
insert Edge(4, 958),
insert Edge(4, 314),
insert Edge(4, 941),
insert Edge(4, 943),
insert Edge(4, 19),
insert Edge(4, 762),
insert Edge(4, 637),
insert Edge(4, 383),
insert Edge(4, 488),
insert Edge(4, 265),
insert Edge(4, 579),
insert Edge(4, 420),
insert Edge(4, 269),
insert Edge(4, 741),
insert Edge(4, 826),
insert Edge(4, 9),
insert Edge(4, 643),
insert Edge(4, 435),
insert Edge(4, 139),
insert Edge(4, 160),
insert Edge(5, 512),
insert Edge(5, 428),
insert Edge(5, 237),
insert Edge(5, 923),
insert Edge(5, 405),
insert Edge(5, 315),
insert Edge(5, 681),
insert Edge(5, 974),
insert Edge(5, 160),
insert Edge(5, 529),
insert Edge(5, 899),
insert Edge(5, 751),
insert Edge(5, 787),
insert Edge(5, 375),
insert Edge(5, 760),
insert Edge(5, 448),
insert Edge(5, 581),
insert Edge(6, 786),
insert Edge(6, 655),
insert Edge(6, 606),
insert Edge(6, 731),
insert Edge(6, 636),
insert Edge(6, 352),
insert Edge(6, 118),
insert Edge(6, 866),
insert Edge(6, 907),
insert Edge(6, 287),
insert Edge(6, 583),
insert Edge(6, 775),
insert Edge(6, 671),
insert Edge(6, 452),
insert Edge(6, 649),
insert Edge(6, 880),
insert Edge(6, 810),
insert Edge(6, 233),
insert Edge(6, 472),
insert Edge(6, 816),
insert Edge(6, 774),
insert Edge(7, 282),
insert Edge(7, 388),
insert Edge(7, 509),
insert Edge(7, 325),
insert Edge(7, 357),
insert Edge(7, 45),
insert Edge(7, 93),
insert Edge(7, 169),
insert Edge(7, 721),
insert Edge(7, 791),
insert Edge(7, 920),
insert Edge(7, 199),
insert Edge(7, 940),
insert Edge(7, 39),
insert Edge(7, 507),
insert Edge(7, 993),
insert Edge(7, 851),
insert Edge(7, 566),
insert Edge(7, 561),
insert Edge(7, 113),
insert Edge(7, 240),
insert Edge(7, 649),
insert Edge(7, 316),
insert Edge(7, 937),
insert Edge(8, 732),
insert Edge(8, 107),
insert Edge(8, 433),
insert Edge(8, 774),
insert Edge(8, 990),
insert Edge(8, 311),
insert Edge(8, 453),
insert Edge(8, 563),
insert Edge(8, 57),
insert Edge(8, 105),
insert Edge(8, 861),
insert Edge(8, 100),
insert Edge(8, 772),
insert Edge(8, 737),
insert Edge(8, 622),
insert Edge(8, 103),
insert Edge(8, 232),
insert Edge(8, 973),
insert Edge(8, 858),
insert Edge(8, 670),
insert Edge(8, 845),
insert Edge(8, 907),
insert Edge(8, 360),
insert Edge(8, 618),
insert Edge(8, 148),
insert Edge(8, 337),
insert Edge(8, 879),
insert Edge(8, 8),
insert Edge(9, 282),
insert Edge(9, 513),
insert Edge(9, 888),
insert Edge(9, 857),
insert Edge(9, 66),
insert Edge(9, 868),
insert Edge(9, 985),
insert Edge(9, 528),
insert Edge(9, 252),
insert Edge(9, 441),
insert Edge(9, 354),
insert Edge(9, 396),
insert Edge(9, 173),
insert Edge(9, 586),
insert Edge(9, 715),
insert Edge(9, 565),
insert Edge(10, 449),
insert Edge(10, 606),
insert Edge(10, 311),
insert Edge(10, 946),
insert Edge(10, 428),
insert Edge(10, 683),
insert Edge(10, 76),
insert Edge(10, 695),
insert Edge(10, 650),
insert Edge(10, 535),
